"date","pt","dose","coverage"
2021-05-15,"Nunavut","dose_2",33.76
2021-05-22,"Newfoundland and Labrador","dose_1",49.98
2021-05-22,"Newfoundland and Labrador","dose_2",2.01
2021-05-22,"Prince Edward Island","dose_1",43.41
2021-05-22,"Prince Edward Island","dose_2",7.48
2021-05-22,"Nova Scotia","dose_1",46.46
2021-05-22,"Nova Scotia","dose_2",4.18
2021-05-22,"New Brunswick","dose_1",49.02
2021-05-22,"New Brunswick","dose_2",4.67
2021-05-22,"Quebec","dose_1",53.49
2021-05-22,"Quebec","dose_2",5.19
2021-05-22,"Ontario","dose_1",50.84
2021-05-22,"Ontario","dose_2",3.59
2021-05-22,"Manitoba","dose_1",46.49
2021-05-22,"Manitoba","dose_2",6.27
2021-05-22,"Saskatchewan","dose_1",51.25
2021-05-22,"Saskatchewan","dose_2",4.93
2021-05-22,"Alberta","dose_1",41.74
2021-05-22,"Alberta","dose_2",7.22
2021-05-22,"British Columbia","dose_1",52.51
2021-05-22,"British Columbia","dose_2",2.83
2021-05-22,"Yukon","dose_1",62.05
2021-05-22,"Yukon","dose_2",55.22
2021-05-22,"Northwest Territories","dose_1",66.44
2021-05-22,"Northwest Territories","dose_2",53.68
2021-05-22,"Nunavut","dose_1",43.22
2021-05-22,"Nunavut","dose_2",35.81
2021-05-29,"Newfoundland and Labrador","dose_1",55.72
2021-05-29,"Newfoundland and Labrador","dose_2",2.2
2021-05-29,"Prince Edward Island","dose_1",48.56
2021-05-29,"Prince Edward Island","dose_2",8.17
2021-05-29,"Nova Scotia","dose_1",54.22
2021-05-29,"Nova Scotia","dose_2",4.38
2021-05-29,"New Brunswick","dose_1",54.74
2021-05-29,"New Brunswick","dose_2",5.18
2021-05-29,"Quebec","dose_1",59.01
2021-05-29,"Quebec","dose_2",6.49
2021-05-29,"Ontario","dose_1",55.97
2021-05-29,"Ontario","dose_2",4.65
2021-05-29,"Manitoba","dose_1",52.66
2021-05-29,"Manitoba","dose_2",7.63
